city_id,city_name,extract_date,temperature(°C),sunrise_local_hour,sunset_local_hour,humidity(%),wind(m/s),rain(mm),cloud(%),snowfall(mm),daily_score(/10)
6077243,montréal,2020-05-01,11.8,05:41:00,20:01:00,74,4.48,5.5,63,0.0,3.75
6077243,montréal,2020-05-02,10.8,05:39:00,20:02:00,57,3.36,0.0,46,0.0,7.0
6077243,montréal,2020-05-03,14.3,05:38:00,20:04:00,64,4.72,0.5,58,0.0,5.5
6077243,montréal,2020-05-04,8.6,05:36:00,20:05:00,63,4.54,0.2,81,0.0,5.0
6077243,montréal,2020-05-05,6.2,05:35:00,20:06:00,54,3.45,0.0,92,0.0,6.0
6077243,montréal,2020-05-06,8.0,05:34:00,20:07:00,53,2.09,0.0,69,0.0,7.0
6077243,montréal,2020-05-07,8.2,05:32:00,20:09:00,51,3.28,1.7,39,0.0,5.5
6077243,montréal,2020-05-08,3.2,05:31:00,20:10:00,58,2.55,0.0,56,0.05,6.5
6077243,montréal,2020-05-09,2.8,05:30:00,20:11:00,45,5.61,0.1,69,0.07,4.5
6077243,montréal,2020-05-10,5.0,05:28:00,20:12:00,51,6.02,0.0,73,0.0,6.0
6077243,montréal,2020-05-11,5.9,05:27:00,20:14:00,61,2.4,0.1,58,0.0,6.0
6077243,montréal,2020-05-12,4.8,05:26:00,20:15:00,38,4.05,0.0,53,0.0,6.5
6077243,montréal,2020-05-13,6.7,05:25:00,20:16:00,41,4.01,0.0,19,0.0,7.0
6077243,montréal,2020-05-14,10.5,05:24:00,20:17:00,50,3.27,0.0,54,0.0,6.5
6077243,montréal,2020-05-15,11.3,05:22:00,20:18:00,70,2.91,17.6,94,0.0,3.75
6077243,montréal,2020-05-16,12.4,05:21:00,20:19:00,71,2.7,0.0,75,0.0,5.75
6077243,montréal,2020-05-17,14.0,05:20:00,20:20:00,57,1.93,0.0,90,0.0,6.5
6077243,montréal,2020-05-18,13.3,05:19:00,20:22:00,33,4.77,0.0,55,0.0,6.5
6077243,montréal,2020-05-19,13.4,05:18:00,20:23:00,45,4.96,0.0,45,0.0,7.0
6077243,montréal,2020-05-20,15.1,05:17:00,20:24:00,48,2.25,0.0,23,0.0,7.5
6077243,montréal,2020-05-21,17.7,05:16:00,20:25:00,38,4.61,0.0,76,0.0,6.0
6077243,montréal,2020-05-22,19.3,05:15:00,20:26:00,31,4.88,0.0,47,0.0,8.25
6077243,montréal,2020-05-23,17.3,05:14:00,20:27:00,30,5.24,0.0,4,0.0,6.5
6077243,montréal,2020-05-24,18.0,05:14:00,20:28:00,41,3.22,0.0,64,0.0,7.75
6077243,montréal,2020-05-25,18.9,05:13:00,20:29:00,60,3.7,2.5,82,0.0,5.75
6077243,montréal,2020-05-26,23.4,05:12:00,20:30:00,66,2.41,0.0,49,0.0,10.0
6077243,montréal,2020-05-27,27.2,05:11:00,20:31:00,54,2.81,0.0,37,0.0,10.0
6077243,montréal,2020-05-28,25.8,05:11:00,20:32:00,57,3.81,0.1,75,0.0,7.5
6077243,montréal,2020-05-29,25.0,05:10:00,20:33:00,62,5.5,2.2,68,0.0,7.0
6077243,montréal,2020-05-30,17.3,05:09:00,20:34:00,67,5.96,2.9,83,0.0,4.0
6077243,montréal,2020-05-31,9.2,05:09:00,20:35:00,53,4.57,0.0,52,0.0,6.5
6077243,montréal,2020-06-01,10.1,05:08:00,20:36:00,65,3.11,0.3,49,0.0,6.0
6077243,montréal,2020-06-02,12.1,05:08:00,20:37:00,75,2.11,1.1,85,0.0,4.25
6077243,montréal,2020-06-03,13.6,05:07:00,20:37:00,87,1.67,3.3,84,0.0,3.0
6077243,montréal,2020-06-04,18.2,05:07:00,20:38:00,68,3.32,0.2,39,0.0,7.25
6077243,montréal,2020-06-05,21.9,05:06:00,20:39:00,53,3.3,0.1,48,0.0,8.5
6077243,montréal,2020-06-06,19.4,05:06:00,20:40:00,71,3.11,14.4,73,0.0,5.0
6077243,montréal,2020-06-07,16.6,05:06:00,20:40:00,50,3.2,0.0,44,0.0,7.0
6077243,montréal,2020-06-08,17.0,05:05:00,20:41:00,47,3.16,0.0,54,0.0,6.5
6077243,montréal,2020-06-09,17.7,05:05:00,20:42:00,60,1.27,0.2,74,0.0,6.0
6077243,montréal,2020-06-10,20.0,05:05:00,20:42:00,64,5.31,2.6,69,0.0,7.0
6077243,montréal,2020-06-11,21.9,05:05:00,20:43:00,65,7.53,4.5,31,0.0,7.0
6077243,montréal,2020-06-12,17.1,05:05:00,20:43:00,56,5.96,0.3,40,0.0,5.5
6077243,montréal,2020-06-13,11.8,05:05:00,20:44:00,58,2.96,0.0,82,0.0,6.5
6077243,montréal,2020-06-14,15.4,05:05:00,20:44:00,50,2.99,0.0,38,0.0,7.5
6077243,montréal,2020-06-15,17.3,05:05:00,20:45:00,53,1.87,0.0,33,0.0,7.5
6077243,montréal,2020-06-16,20.3,05:05:00,20:45:00,53,2.13,0.0,35,0.0,10.0
6077243,montréal,2020-06-17,22.6,05:05:00,20:45:00,52,2.99,0.0,1,0.0,10.0
6077243,montréal,2020-06-18,24.9,05:05:00,20:46:00,49,2.85,0.0,1,0.0,10.0
6077243,montréal,2020-06-19,25.6,05:05:00,20:46:00,59,3.16,0.0,35,0.0,9.5
6077243,montréal,2020-06-20,26.5,05:05:00,20:46:00,53,3.12,0.0,15,0.0,9.5
6077243,montréal,2020-06-21,27.1,05:05:00,20:46:00,60,1.89,0.1,25,0.0,9.0
6077243,montréal,2020-06-22,27.5,05:06:00,20:47:00,58,2.34,0.0,36,0.0,10.0
6077243,montréal,2020-06-23,26.9,05:06:00,20:47:00,67,2.56,0.5,54,0.0,8.5
6077243,montréal,2020-06-24,22.7,05:06:00,20:47:00,65,6.39,3.9,56,0.0,6.5
6077243,montréal,2020-06-25,20.9,05:07:00,20:47:00,52,6.22,0.3,39,0.0,8.0
6077243,montréal,2020-06-26,21.6,05:07:00,20:47:00,56,4.32,0.0,52,0.0,9.0
6077243,montréal,2020-06-27,21.9,05:07:00,20:47:00,63,2.53,2.8,89,0.0,7.5
6077243,montréal,2020-06-28,21.2,05:08:00,20:47:00,88,1.68,11.8,84,0.0,5.5
6077243,montréal,2020-06-29,20.4,05:08:00,20:47:00,84,4.24,2.5,97,0.0,5.5
6077243,montréal,2020-06-30,21.0,05:09:00,20:46:00,76,4.57,0.3,63,0.0,7.25
6077243,montréal,2020-07-01,23.3,05:10:00,20:46:00,69,2.38,0.0,22,0.0,10.0
6077243,montréal,2020-07-02,25.4,05:10:00,20:46:00,70,3.06,1.8,55,0.0,6.75
6077243,montréal,2020-07-03,23.8,05:11:00,20:46:00,67,2.5,0.0,57,0.0,9.5
6077243,montréal,2020-07-04,23.9,05:12:00,20:45:00,50,2.51,0.0,23,0.0,10.0
6077243,montréal,2020-07-05,22.9,05:12:00,20:45:00,53,2.52,0.1,39,0.0,9.0
6077243,montréal,2020-07-06,23.3,05:13:00,20:45:00,55,1.39,0.0,25,0.0,10.0
6077243,montréal,2020-07-07,25.9,05:14:00,20:44:00,56,3.55,0.3,79,0.0,7.5
6077243,montréal,2020-07-08,26.1,05:14:00,20:44:00,71,2.62,1.1,49,0.0,7.75
6077243,montréal,2020-07-09,27.6,05:15:00,20:43:00,68,2.13,0.3,34,0.0,9.0
6077243,montréal,2020-07-10,28.9,05:16:00,20:43:00,59,3.29,0.0,32,0.0,8.25
6077243,montréal,2020-07-11,24.9,05:17:00,20:42:00,82,3.75,16.7,79,0.0,5.0
6077243,montréal,2020-07-12,23.7,05:18:00,20:42:00,80,4.1,11.1,70,0.0,5.5
6077243,montréal,2020-07-13,22.9,05:19:00,20:41:00,67,2.47,0.1,60,0.0,8.5
6077243,montréal,2020-07-14,21.7,05:19:00,20:40:00,69,3.88,0.0,45,0.0,9.5
6077243,montréal,2020-07-15,20.7,05:20:00,20:39:00,65,3.26,0.0,52,0.0,9.0
6077243,montréal,2020-07-16,23.0,05:21:00,20:39:00,73,4.67,4.0,87,0.0,5.75
6077243,montréal,2020-07-17,22.6,05:22:00,20:38:00,77,4.54,14.1,60,0.0,6.25
6077243,montréal,2020-07-18,25.2,05:23:00,20:37:00,67,4.35,0.0,45,0.0,9.5
6077243,montréal,2020-07-19,26.2,05:24:00,20:36:00,72,4.83,5.8,87,0.0,5.75
6077243,montréal,2020-07-20,24.9,05:25:00,20:35:00,74,5.3,2.1,46,0.0,6.75
6077243,montréal,2020-07-21,21.4,05:26:00,20:34:00,62,2.47,0.0,64,0.0,9.5
6077243,montréal,2020-07-22,22.1,05:28:00,20:33:00,68,1.91,0.8,91,0.0,8.0
6077243,montréal,2020-07-23,21.4,05:29:00,20:32:00,79,2.6,5.0,70,0.0,6.75
6077243,montréal,2020-07-24,23.2,05:30:00,20:31:00,65,1.76,0.0,32,0.0,10.0
6077243,montréal,2020-07-25,24.9,05:31:00,20:30:00,62,3.47,0.0,90,0.0,8.5
6077243,montréal,2020-07-26,26.0,05:32:00,20:29:00,65,5.83,1.1,79,0.0,6.5
6077243,montréal,2020-07-27,25.0,05:33:00,20:28:00,87,4.4,31.2,68,0.0,5.5
6077243,montréal,2020-07-28,25.4,05:34:00,20:27:00,68,4.84,0.1,33,0.0,8.5
6077243,montréal,2020-07-29,23.3,05:35:00,20:25:00,76,3.09,4.7,44,0.0,6.75
6077243,montréal,2020-07-30,22.1,05:36:00,20:24:00,81,2.64,6.3,48,0.0,6.5
6077243,montréal,2020-07-31,22.4,05:38:00,20:23:00,75,1.65,0.1,13,0.0,8.25
6077243,montréal,2020-08-01,24.0,05:39:00,20:22:00,71,1.25,0.0,34,0.0,9.25
6077243,montréal,2020-08-02,23.3,05:40:00,20:20:00,83,3.84,17.0,84,0.0,5.0
6077243,montréal,2020-08-03,23.0,05:41:00,20:19:00,74,5.41,1.2,61,0.0,6.25
6077243,montréal,2020-08-04,19.7,05:42:00,20:18:00,93,3.56,46.2,98,0.0,3.75
6077243,montréal,2020-08-05,20.3,05:43:00,20:16:00,80,5.72,2.5,57,0.0,5.5
6077243,montréal,2020-08-06,19.6,05:45:00,20:15:00,66,4.35,0.0,25,0.0,8.25
6077243,montréal,2020-08-07,21.1,05:46:00,20:13:00,71,1.79,0.0,17,0.0,9.25
6077243,montréal,2020-08-08,23.0,05:47:00,20:12:00,71,1.59,0.1,23,0.0,8.25
6077243,montréal,2020-08-09,22.4,05:48:00,20:10:00,81,2.54,0.2,94,0.0,6.5
6077243,montréal,2020-08-10,23.2,05:49:00,20:09:00,81,2.07,0.0,85,0.0,7.5
6077243,montréal,2020-08-11,26.2,05:51:00,20:07:00,75,3.29,2.7,48,0.0,7.25
6077243,montréal,2020-08-12,24.0,05:52:00,20:06:00,75,3.35,0.1,35,0.0,7.75
6077243,montréal,2020-08-13,24.0,05:53:00,20:04:00,68,1.79,0.0,52,0.0,9.5
6077243,montréal,2020-08-14,22.3,05:54:00,20:03:00,62,3.47,0.0,18,0.0,9.5
6077243,montréal,2020-08-15,21.9,05:56:00,20:01:00,68,3.21,0.0,4,0.0,9.5
6077243,montréal,2020-08-16,22.9,05:57:00,19:59:00,66,4.02,0.0,20,0.0,9.5
6077243,montréal,2020-08-17,20.8,05:58:00,19:58:00,80,2.95,5.7,73,0.0,6.0
6077243,montréal,2020-08-18,19.5,05:59:00,19:56:00,75,3.81,4.3,56,0.0,5.0
6077243,montréal,2020-08-19,17.3,06:00:00,19:54:00,72,3.26,0.1,34,0.0,5.25
6077243,montréal,2020-08-20,16.9,06:02:00,19:53:00,71,2.3,0.6,81,0.0,4.75
6077243,montréal,2020-08-21,19.5,06:03:00,19:51:00,83,3.96,6.3,73,0.0,4.25
6077243,montréal,2020-08-22,20.8,06:04:00,19:49:00,73,1.96,0.0,48,0.0,9.25
6077243,montréal,2020-08-23,21.6,06:05:00,19:48:00,79,2.18,4.5,88,0.0,6.25
6077243,montréal,2020-08-24,21.6,06:06:00,19:46:00,91,2.35,27.6,84,0.0,5.5
6077243,montréal,2020-08-25,21.0,06:08:00,19:44:00,73,6.21,0.2,57,0.0,6.75
6077243,montréal,2020-08-26,14.6,06:09:00,19:42:00,58,4.47,0.0,16,0.0,7.0
6077243,montréal,2020-08-27,15.3,06:10:00,19:40:00,70,1.79,0.1,74,0.0,5.25
6077243,montréal,2020-08-28,17.7,06:11:00,19:39:00,70,2.85,0.0,66,0.0,6.25
6077243,montréal,2020-08-29,15.6,06:13:00,19:37:00,94,3.48,42.1,98,0.0,2.5
6077243,montréal,2020-08-30,16.1,06:14:00,19:35:00,69,5.64,0.6,36,0.0,5.5
6077243,montréal,2020-08-31,15.8,06:15:00,19:33:00,69,1.75,0.0,16,0.0,7.5
6077243,montréal,2020-09-01,19.0,06:16:00,19:31:00,77,4.33,0.0,82,0.0,6.5
6077243,montréal,2020-09-02,20.8,06:17:00,19:29:00,81,6.04,9.6,85,0.0,4.5
6077243,montréal,2020-09-03,19.8,06:19:00,19:27:00,77,3.48,0.0,46,0.0,7.5
6077243,montréal,2020-09-04,18.6,06:20:00,19:25:00,62,5.67,0.1,37,0.0,6.75
6077243,montréal,2020-09-05,16.1,06:21:00,19:24:00,65,4.15,0.1,14,0.0,6.0
6077243,montréal,2020-09-06,15.9,06:22:00,19:22:00,75,2.94,0.2,45,0.0,5.75
6077243,montréal,2020-09-07,19.3,06:24:00,19:20:00,74,5.37,9.0,75,0.0,4.0
6077243,montréal,2020-09-08,18.4,06:25:00,19:18:00,80,2.39,7.0,87,0.0,4.25
6077243,montréal,2020-09-09,15.5,06:26:00,19:16:00,82,3.44,2.6,71,0.0,3.5
6077243,montréal,2020-09-10,15.4,06:27:00,19:14:00,84,2.42,0.4,94,0.0,4.0
6077243,montréal,2020-09-11,13.4,06:28:00,19:12:00,66,2.39,0.0,48,0.0,7.5
6077243,montréal,2020-09-12,14.8,06:30:00,19:10:00,71,2.75,0.0,50,0.0,6.25
