location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,45.51845,-73.61069,29.0,-14400,America/Toronto,GMT-4
1,31.599297,-7.976074,465.0,3600,Africa/Casablanca,GMT+1

location_id,time,temperature_2m_mean (°C),relative_humidity_2m_mean (%),sunrise (iso8601),sunset (iso8601),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),wind_speed_10m_mean (m/s)
0,2020-05-01,11.8,74,2020-05-01T05:41,2020-05-01T20:01,5.50,0.00,63,4.48
0,2020-05-02,10.8,57,2020-05-02T05:39,2020-05-02T20:02,0.00,0.00,46,3.36
0,2020-05-03,14.3,64,2020-05-03T05:38,2020-05-03T20:04,0.50,0.00,58,4.72
0,2020-05-04,8.6,63,2020-05-04T05:36,2020-05-04T20:05,0.20,0.00,81,4.54
0,2020-05-05,6.2,54,2020-05-05T05:35,2020-05-05T20:06,0.00,0.00,92,3.45
0,2020-05-06,8.0,53,2020-05-06T05:34,2020-05-06T20:07,0.00,0.00,69,2.09
0,2020-05-07,8.2,51,2020-05-07T05:32,2020-05-07T20:09,1.70,0.00,39,3.28
0,2020-05-08,3.2,58,2020-05-08T05:31,2020-05-08T20:10,0.00,0.35,56,2.55
0,2020-05-09,2.8,45,2020-05-09T05:30,2020-05-09T20:11,0.10,0.49,69,5.61
0,2020-05-10,5.0,51,2020-05-10T05:28,2020-05-10T20:12,0.00,0.00,73,6.02
0,2020-05-11,5.9,61,2020-05-11T05:27,2020-05-11T20:14,0.10,0.00,58,2.40
0,2020-05-12,4.8,38,2020-05-12T05:26,2020-05-12T20:15,0.00,0.00,53,4.05
0,2020-05-13,6.7,41,2020-05-13T05:25,2020-05-13T20:16,0.00,0.00,19,4.01
0,2020-05-14,10.5,50,2020-05-14T05:24,2020-05-14T20:17,0.00,0.00,54,3.27
0,2020-05-15,11.3,70,2020-05-15T05:22,2020-05-15T20:18,17.60,0.00,94,2.91
0,2020-05-16,12.4,71,2020-05-16T05:21,2020-05-16T20:19,0.00,0.00,75,2.70
0,2020-05-17,14.0,57,2020-05-17T05:20,2020-05-17T20:20,0.00,0.00,90,1.93
0,2020-05-18,13.3,33,2020-05-18T05:19,2020-05-18T20:22,0.00,0.00,55,4.77
0,2020-05-19,13.4,45,2020-05-19T05:18,2020-05-19T20:23,0.00,0.00,45,4.96
0,2020-05-20,15.1,48,2020-05-20T05:17,2020-05-20T20:24,0.00,0.00,23,2.25
0,2020-05-21,17.7,38,2020-05-21T05:16,2020-05-21T20:25,0.00,0.00,76,4.61
0,2020-05-22,19.3,31,2020-05-22T05:15,2020-05-22T20:26,0.00,0.00,47,4.88
0,2020-05-23,17.3,30,2020-05-23T05:14,2020-05-23T20:27,0.00,0.00,4,5.24
0,2020-05-24,18.0,41,2020-05-24T05:14,2020-05-24T20:28,0.00,0.00,64,3.22
0,2020-05-25,18.9,60,2020-05-25T05:13,2020-05-25T20:29,2.50,0.00,82,3.70
0,2020-05-26,23.4,66,2020-05-26T05:12,2020-05-26T20:30,0.00,0.00,49,2.41
0,2020-05-27,27.2,54,2020-05-27T05:11,2020-05-27T20:31,0.00,0.00,37,2.81
0,2020-05-28,25.8,57,2020-05-28T05:11,2020-05-28T20:32,0.10,0.00,75,3.81
0,2020-05-29,25.0,62,2020-05-29T05:10,2020-05-29T20:33,2.20,0.00,68,5.50
0,2020-05-30,17.3,67,2020-05-30T05:09,2020-05-30T20:34,2.90,0.00,83,5.96
0,2020-05-31,9.2,53,2020-05-31T05:09,2020-05-31T20:35,0.00,0.00,52,4.57
0,2020-06-01,10.1,65,2020-06-01T05:08,2020-06-01T20:36,0.30,0.00,49,3.11
0,2020-06-02,12.1,75,2020-06-02T05:08,2020-06-02T20:37,1.10,0.00,85,2.11
0,2020-06-03,13.6,87,2020-06-03T05:07,2020-06-03T20:37,3.30,0.00,84,1.67
0,2020-06-04,18.2,68,2020-06-04T05:07,2020-06-04T20:38,0.20,0.00,39,3.32
0,2020-06-05,21.9,53,2020-06-05T05:06,2020-06-05T20:39,0.10,0.00,48,3.30
0,2020-06-06,19.4,71,2020-06-06T05:06,2020-06-06T20:40,14.40,0.00,73,3.11
0,2020-06-07,16.6,50,2020-06-07T05:06,2020-06-07T20:40,0.00,0.00,44,3.20
0,2020-06-08,17.0,47,2020-06-08T05:05,2020-06-08T20:41,0.00,0.00,54,3.16
0,2020-06-09,17.7,60,2020-06-09T05:05,2020-06-09T20:42,0.20,0.00,74,1.27
0,2020-06-10,20.0,64,2020-06-10T05:05,2020-06-10T20:42,2.60,0.00,69,5.31
0,2020-06-11,21.9,65,2020-06-11T05:05,2020-06-11T20:43,4.50,0.00,31,7.53
0,2020-06-12,17.1,56,2020-06-12T05:05,2020-06-12T20:43,0.30,0.00,40,5.96
0,2020-06-13,11.8,58,2020-06-13T05:05,2020-06-13T20:44,0.00,0.00,82,2.96
0,2020-06-14,15.4,50,2020-06-14T05:05,2020-06-14T20:44,0.00,0.00,38,2.99
0,2020-06-15,17.3,53,2020-06-15T05:05,2020-06-15T20:45,0.00,0.00,33,1.87
